,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002546,新联电子,0.08,-6.1,,2.13,,6382.54,-6.19,,08-15
1,300246,宝莱特,1.64,767.48,,36.9,,24001.78,767.6,,08-15
2,688568,中科星图,-0.04,33.33,,-2.36,,-675.42,19.47,,08-15
3,000732,泰禾集团,-0.64,-150.67,,-8.37,,-158159.38,-201.33,,08-15
4,000903,云内动力,0.08,12.0,,2.88,,16289.98,10.54,,08-15
5,600896,览海医疗,-0.1,0.0,,-5.37,,-8344.1,-5.29,,08-15
6,601827,三峰环境,0.25,25.0,,6.59,,33818.86,27.67,,08-15
7,002798,帝欧家居,0.67,7.73,,6.69,,25202.04,7.96,,08-15
8,002983,芯瑞达,0.3,-14.29,,3.75,,3519.83,-5.29,,08-15
9,603696,安记食品,0.1,-23.08,,4.19,,2379.83,-15.83,,08-15
10,300389,艾比森,0.1,-60.6,,2.51,,3250.12,-61.11,,08-15
11,600132,重庆啤酒,0.51,4.08,,17.23,,24603.32,3.06,,08-15
12,002350,北京科锐,-0.02,-179.09,,-0.48,,-853.5,-179.1,,08-15
13,002464,众应互联,-0.04,-126.67,,-19.88,,-2274.5,-129.29,,08-15
14,603316,诚邦股份,0.07,75.0,,1.66,,1444.8,64.22,,08-15
15,300403,汉宇集团,0.12,5.87,,5.17,,7069.46,5.92,,08-15
16,300531,优博讯,0.24,-11.11,,5.46,,7630.76,0.42,,08-15
17,000848,承德露露,0.19,-29.63,,10.0,,20323.99,-22.51,,08-15
18,000989,九芝堂,0.23,9.52,,4.89,,19711.5,11.71,,08-15
19,002643,万润股份,0.24,-4.0,,4.41,,21633.9,-6.22,,08-15
20,603027,千禾味业,0.24,24.69,,9.13,,15703.5,79.85,,08-15
21,600415,小商品城,0.13,8.33,,5.38,,71959.53,6.82,,08-15
22,600523,贵航股份,0.13,8.33,,2.13,,5405.84,8.88,,08-15
23,600761,安徽合力,0.54,14.89,,7.79,,40291.08,15.03,,08-15
24,603596,伯特利,0.41,-12.77,,7.18,,16718.39,-12.35,,08-15
25,603686,龙马环卫,0.47,14.63,,7.52,,19526.79,58.59,,08-15
26,300289,利德曼,-0.01,-172.96,,-0.45,,-595.76,-172.92,,08-15
27,603918,金桥信息,0.04,-46.38,,1.58,,1012.48,-44.99,,08-15
28,300745,欣锐科技,-0.86,-530.0,,-9.36,,-9816.22,-536.48,,08-15
29,600126,杭钢股份,0.12,-42.86,,2.05,,39243.17,-44.93,,08-15
30,600281,太化股份,0.0,-110.13,,0.5,,240.75,-110.09,,08-15
31,600603,广汇物流,0.23,43.75,,4.3,,27603.46,35.64,,08-15
32,600784,鲁银投资,0.09,-325.0,,3.35,,5311.23,-361.31,,08-15
33,600980,北矿科技,0.13,-12.4,,3.02,,1920.04,-13.61,,08-15
34,603615,茶花股份,0.08,-45.84,,1.38,,1887.18,-46.77,,08-15
35,002184,海得控制,0.16,621.0,,3.83,,3780.69,621.71,,08-15
36,600329,中新药业,0.42,-6.87,,5.83,,32346.23,-6.75,,08-15
37,600829,人民同泰,0.14,-42.62,,4.27,,8065.52,-42.62,,08-15
38,601158,重庆水务,0.16,-11.11,,5.2,,79194.11,-6.06,,08-15
39,603019,中科曙光,0.19,-17.39,,5.15,,25052.85,23.11,,08-15
40,603661,恒林股份,1.57,24.6,,6.04,,15636.88,24.4,,08-15
41,300236,上海新阳,0.09,-93.81,,1.71,,2592.86,-90.63,,08-15
42,300557,理工光科,-0.21,-38.24,,-2.4,,-1158.83,-38.24,,08-15
43,300801,泰和科技,0.58,-37.46,,7.12,,12577.18,50.69,,08-15
44,603681,永冠新材,0.41,-16.33,,4.91,,6865.48,-4.22,,08-15
45,300287,飞利信,-0.05,-266.67,,-1.75,,-6588.69,-239.7,,08-15
46,600114,东睦股份,0.09,0.0,,2.03,,5432.7,-4.83,,08-15
47,002447,*ST晨鑫,0.0,250.0,,0.36,,202.29,299.42,,08-15
48,002815,崇达技术,0.31,-3.13,,6.82,,26968.2,1.81,,08-15
49,603416,信捷电气,1.02,100.0,,11.41,,14318.94,99.06,,08-15
50,000666,经纬纺机,0.24,-51.66,,1.93,,17124.84,-51.66,,08-15
51,000978,桂林旅游,-0.31,-1207.14,,-7.26,,-11155.89,-1225.01,,08-15
52,600460,士兰微,0.02,-47.73,,0.9,,3063.06,-47.02,,08-15
53,600826,兰生股份,0.02,-94.87,,0.22,,743.46,-95.5,,08-15
54,603767,中马传动,0.09,-30.77,,1.89,,2744.28,-27.32,,08-15
55,000721,西安饮食,-0.14,323.56,,-12.06,,-6997.99,323.22,,08-15
56,600201,生物股份,0.16,6.67,,3.85,,18244.57,7.33,,08-15
57,002303,美盈森,0.06,-42.49,,1.89,,9486.81,-42.55,,08-15
58,600517,国网英大,0.11,450.0,,3.93,,56906.47,2354.45,,08-15
59,002888,惠威科技,0.12,9.09,,3.61,,1456.64,6.18,,08-15
60,600136,当代文体,-1.11,-186.05,,-13.34,,-53908.25,-185.86,,08-15
61,600647,同达创业,0.02,-89.88,,0.84,,243.26,-89.89,,08-15
62,600919,江苏银行,0.71,4.41,10.21,6.77,,814569.4,3.49,,08-15
63,603115,海星股份,0.27,-41.3,,4.44,,5540.74,-22.06,,08-15
64,300305,裕兴股份,0.19,11.03,,3.6,,5536.65,12.7,,08-15
65,688008,澜起科技,0.53,20.45,,7.87,,60152.47,33.43,,08-15
66,300628,亿联网络,0.72,-28.89,,14.21,,64535.15,6.36,,08-15
67,000417,合肥百货,0.12,-29.58,,2.4,,9617.44,-29.58,,08-15
68,000705,浙江震元,,,,2.77,,,,,08-15
69,002004,华邦健康,0.16,6.67,,3.33,,31745.66,7.21,,08-15
70,002126,银轮股份,0.26,4.0,,5.31,,20359.0,0.92,,08-15
71,002223,鱼跃医疗,1.12,110.66,,17.05,,111929.78,109.86,,08-15
72,002598,山东章鼓,0.17,20.09,,5.91,,5204.17,20.11,,08-15
73,603650,彤程新材,0.31,-22.5,,8.02,,17992.92,-22.81,,08-15
74,300549,优德精密,0.01,-93.64,,0.18,,91.92,-93.66,,08-15
75,300816,艾可蓝,0.74,-12.94,,11.64,,5955.74,16.8,,08-15
76,600080,ST金花,0.04,-42.04,,0.84,,1441.88,-42.01,,08-15
77,600266,城建发展,0.06,-89.72,,0.61,,25200.28,-78.81,,08-15
78,002548,金新农,,,,8.79,,,,,08-15
79,600877,ST电能,0.01,-327.59,,3.29,,1083.15,-372.83,,08-15
80,603041,美思德,0.29,-14.71,,5.07,,4117.26,19.86,,08-15
81,300047,天源迪科,0.1,35.61,,1.92,,6068.56,35.44,,08-15
82,603677,奇精机械,0.16,-15.79,,2.86,,3068.62,-16.35,,08-15
